RANK,NAME,SYMBOL,MARKET_CAP
1,Bitcoin,BTC,941293987905
2,Ethereum,ETH,480499261456
3,Binance Coin,BNB,90321378765
4,Tether,USDT,77995414354
5,Solana,SOL,60714624681
6,Cardano,ADA,47874422394
7,XRP,XRP,43429092054
8,USD Coin,USDC,42413911050
9,Terra,LUNA,36161644767
10,Polkadot,DOT,28996868267
11,Avalanche,AVAX,27391380220
12,Dogecoin,DOGE,24911176821
13,SHIBA INU,SHIB,20629267609
14,Polygon,MATIC,20038843713
15,Crypto.com Coin,CRO,15595499401
16,Binance USD,BUSD,14623357601
17,Wrapped Bitcoin,WBTC,12978947639
18,Uniswap,UNI,10773625619
19,Litecoin,LTC,10680105960
20,Chainlink,LINK,10387959059
21,Algorand,ALGO,10198650050
22,TerraUSD,UST,9936088326
23,Dai,DAI,9355729313
24,NEAR Protocol,NEAR,9224775815
25,Bitcoin Cash,BCH,8510108291
26,TRON,TRX,8183610666
27,Stellar,XLM,7060195140
28,Cosmos,ATOM,7059190458
29,Decentraland,MANA,6734961717
30,Axie Infinity,AXS,6479379022
31,The Sandbox,SAND,6096469232
32,VeChain,VET,6063383125
33,FTX Token,FTT,5869138450
34,Hedera,HBAR,5730969936
35,Fantom,FTM,5721015142
36,THETA,THETA,5244666867
37,Bitcoin BEP2,BTCB,5238275955
38,Filecoin,FIL,5115221984
39,Internet Computer,ICP,4994016853
40,Elrond,EGLD,4977622135
41,Ethereum Classic,ETC,4919251508
42,Tezos,XTZ,4241363680
43,Helium,HNT,3930841062
44,IOTA,MIOTA,3741985766
45,Monero,XMR,3740084326
46,Aave,AAVE,3582882559
47,Gala,GALA,3430671821
48,The Graph,GRT,3419734846
49,Klaytn,KLAY,3390932618
50,UNUS SED LEO,LEO,3363659138